Mileage,Weight
13,1695
15,1548
14,1548
15,1560
24,1445.976
17,1725.93
19,1519
11,1650
16,1911.66
14,2018.115
14,2007.243
21,1305
21,1330
19,1662.963
28,1208.604
22,1483
20,1610
28,1155
25,1276.101
30,0
19,1519.815
16,1635.33
18,1350
18,1730
28,1150
30,1150
27,1248
29,1248
26,1286
26,1286
24,1353.111
23,1353.111
25,1589.124
25,1589.124
23,1656.168
23,1656.168
21,0
21,1643.031
25,1548.807
23,1548.807
29,1114.833
29,1114.833
25,1259.34
27,1259.34
24,1307.358
25,1307.358
14,1907.13
20,1392.069
24,1392.069
26,1579.611
25,1579.611
27,1283.349
27,1283.349
22,1497.165
30,1233.519
25,1449.6
25,1463.19
25,1463.19
24,1347.675
24,1347.675
23,1450.053
23,1450.053
21,1400
20,1400
21,1737.255
20,1776.666
15,1925.25
25,1577
25,1577
23,1485.84
23,1485.84
28,1144
27,1144
25,1432
25,1432
27,1253.451
26,1253.451
24,1628
23,1628
23,1506.225
23,1506.225
23,1980
19,1980
22,1634.877
29,1219.929
27,1219.929
26,1560.132
20,1560.132
25,1498.071
25,1498.071
23,1452.318
25,1452.318
22,1613.586
19,1613.586
19,1950.165
19,1950.165
20,1787.538
28,1343.145
22,1542.918
21,1542.918
19,1835.103
20,1835.103
21,1882.215
22,1882.215
16,2075.646
16,2251.863
16,2206.563
14,2389.122
14,2389.122
16,2189.349
15,2161.263
15,2305.77
18,2068.398
18,1987.311
23,1574.175
19,1892.181
19,2165.34
15,2585.724
18,1913.472
16,2536.347
20,1698.75
23,1453.224
16,2539.971
12,2385.045
16,2048.919
23,1540.2
19,2187.084
19,2109.168
16,1961.943
16,2383.686
19,1956.507
20,1797.957
16,2355.147
18,2215.623
18,2174.4
20,1753.11
20,1779.837
20,1537.935
14,2564.433
20,1657.98
19,2163.981
22,1715.964
20,2042.124
14,2576.211
16,2212.452
17,1927.515
